genres	avg. votes	avg. rating	avg. runtime
Animation,Horror,Romance	31	5.2	94.0
Animation,Horror,Sci-Fi	446	5.3	76.0
Animation,Horror,Thriller	75	4.9	58.0
Animation,Music	109	7.0	63.0
Animation,Music,Musical	117	7.0	64.0
Animation,Music,Romance	17	7.3	66.0
Animation,Music,Sci-Fi	21	7.9	59.0
Animation,Musical	48	6.0	69.0
Animation,Musical,Romance	53	6.7	84.0
Animation,Musical,Sport	12	5.6	71.0
Animation,Mystery	105	6.2	67.0
Animation,Mystery,Romance	244	7.2	90.0
Animation,Mystery,Sci-Fi	2058	6.0	86.0
Animation,Mystery,Thriller	87	6.1	105.0
Animation,News	21	6.4	
Animation,Romance	140	6.8	57.0
Animation,Romance,Sci-Fi	231	7.3	67.0
Animation,Sci-Fi	803	6.5	87.0
Animation,Sci-Fi,Thriller	7895	6.6	90.0
Animation,Sci-Fi,War	206	6.2	100.0
Animation,Sport	142	6.6	83.0
Animation,Thriller	48	6.4	84.0
Animation,War	61	6.5	66.0
Animation,Western	11	7.8	74.0
Biography	86	6.9	80.0
Biography,Comedy	1296	6.5	88.0
Biography,Comedy,Crime	75047	6.6	101.0
Biography,Comedy,Documentary	530	7.3	79.0
Biography,Comedy,Drama	19072	6.7	103.0
Biography,Comedy,Family	102	6.8	78.0
Biography,Comedy,Fantasy	19	4.6	68.0
Biography,Comedy,History	3579	6.4	90.0
Biography,Comedy,Horror	39	6.4	76.0
Biography,Comedy,Music	1117	6.6	85.0
Biography,Comedy,Musical	1298	6.0	91.0
Biography,Comedy,Mystery	60	5.8	72.0
Biography,Comedy,Romance	4918	6.8	85.0
Biography,Comedy,Sci-Fi	2578	7.0	85.0
Biography,Comedy,Thriller	1449	6.6	99.0
Biography,Comedy,War	63	8.8	60.0
Biography,Crime	133	6.4	99.0
Biography,Crime,Documentary	3065	7.1	82.0
Biography,Crime,Drama	33270	6.5	109.0
Biography,Crime,Film-Noir	475	5.8	79.0
Biography,Crime,History	449	6.2	102.0
Biography,Crime,Horror	261	4.8	88.0
Biography,Crime,Mystery	43983	6.8	106.0
Biography,Crime,Thriller	715	6.2	114.0
Biography,Crime,Western	121	4.3	88.0
Biography,Documentary	385	7.2	71.0
Biography,Documentary,Drama	380	7.4	77.0
Biography,Documentary,Family	98	7.5	71.0
Biography,Documentary,Fantasy	421	7.1	82.0
Biography,Documentary,History	474	7.3	77.0
Biography,Documentary,Horror	258	7.2	82.0
Biography,Documentary,Music	815	7.5	79.0
Biography,Documentary,Musical	71	7.6	83.0
Biography,Documentary,Mystery	2376	7.3	72.0
Biography,Documentary,News	698	7.5	76.0
Biography,Documentary,Reality-TV	895	6.6	72.0
Biography,Documentary,Romance	327	7.4	74.0
Biography,Documentary,Sci-Fi	582	7.1	83.0
Biography,Documentary,Sport	1329	7.4	79.0
Biography,Documentary,Thriller	548	7.4	91.0
Biography,Documentary,War	635	7.6	76.0
Biography,Documentary,Western	80	6.4	66.0
Biography,Drama	6542	6.5	105.0
Biography,Drama,Family	11800	6.8	95.0
Biography,Drama,Fantasy	5643	6.4	99.0
Biography,Drama,Film-Noir	365	5.8	88.0
Biography,Drama,History	13755	6.7	114.0
Biography,Drama,Horror	4672	5.9	92.0
Biography,Drama,Music	13999	6.6	111.0
Biography,Drama,Musical	6204	6.8	109.0
Biography,Drama,Mystery	41883	6.4	105.0
Biography,Drama,News	19	5.6	65.0
Biography,Drama,Romance	11793	6.5	108.0
Biography,Drama,Sci-Fi	271	3.9	93.0
Biography,Drama,Sport	15185	6.5	108.0
Biography,Drama,Thriller	36378	6.2	112.0
Biography,Drama,War	12500	6.5	112.0
Biography,Drama,Western	5407	6.4	105.0
Biography,Family	61	5.8	79.0
Biography,Family,History	119	5.8	113.0
Biography,Family,Horror	62	7.4	
Biography,Family,Musical	2129	6.8	121.0
Biography,Family,Sport	4711	6.8	119.0
Biography,Fantasy	1901	7.2	87.0
Biography,Fantasy,History	7	7.0	45.0
Biography,Fantasy,Horror	44	6.3	
Biography,Fantasy,Music	31	5.5	72.0
Biography,Fantasy,Mystery	10	6.0	
Biography,History	238	6.8	94.0
Biography,History,Horror	6	5.2	108.0
Biography,History,Music	90	6.5	82.0
Biography,History,Musical	7	8.6	69.0
Biography,History,Mystery	76	5.9	71.0
Biography,History,Romance	265	6.4	101.0
Biography,History,Sport	39282	5.9	93.0
Biography,History,Thriller	124	6.1	103.0
Biography,History,War	332	6.6	101.0
Biography,History,Western	305	6.1	84.0
Biography,Horror	1739	4.4	88.0
Biography,Horror,Thriller	1379	6.0	92.0
Biography,Music	228	6.5	82.0
Biography,Music,Musical	265	6.4	99.0
Biography,Music,Mystery	10	5.5	90.0
Biography,Music,Romance	306	6.7	98.0
Biography,Musical	284	6.5	98.0
Biography,Musical,Romance	310	6.2	101.0
Biography,Romance	404	6.6	100.0
Biography,Romance,War	85	6.8	90.0
Biography,Sci-Fi	204	7.0	68.0
Biography,Sport	418	6.8	87.0
Biography,Talk-Show	48	7.8	24.0
Biography,Thriller	1978	6.5	99.0
Biography,Thriller,War	831	4.6	95.0
Biography,Thriller,Western	381	4.7	92.0
Biography,War	57	6.9	97.0
Biography,Western	535	5.8	91.0
Comedy	1043	5.9	85.0
Comedy,Crime	6046	5.8	91.0
Comedy,Crime,Documentary	7921	7.2	89.0
Comedy,Crime,Drama	7453	6.2	96.0
Comedy,Crime,Family	2509	5.9	90.0
Comedy,Crime,Fantasy	4254	5.7	93.0
Comedy,Crime,Film-Noir	888	6.1	70.0
Comedy,Crime,History	3956	6.8	100.0
Comedy,Crime,Horror	2281	5.4	86.0
Comedy,Crime,Music	8080	6.1	85.0
Comedy,Crime,Musical	7749	6.2	97.0
Comedy,Crime,Mystery	5481	6.2	89.0
Comedy,Crime,News	18	5.4	24.0
Comedy,Crime,Romance	4851	6.0	92.0
Comedy,Crime,Sci-Fi	1900	5.5	89.0
Comedy,Crime,Sport	20233	6.0	91.0
Comedy,Crime,Thriller	6505	6.1	95.0
Comedy,Crime,War	328	5.1	100.0
Comedy,Crime,Western	1245	5.6	69.0
Comedy,Documentary	731	6.9	75.0
Comedy,Documentary,Drama	381	7.2	79.0
Comedy,Documentary,Family	216	7.0	74.0
Comedy,Documentary,Fantasy	42	7.0	80.0
Comedy,Documentary,Game-Show	781	6.9	100.0
Comedy,Documentary,History	226	6.9	86.0
Comedy,Documentary,Horror	239	6.4	82.0
Comedy,Documentary,Music	786	7.3	75.0
Comedy,Documentary,Musical	1363	7.5	81.0
Comedy,Documentary,Mystery	116	7.9	78.0
Comedy,Documentary,News	109	7.2	74.0
Comedy,Documentary,Reality-TV	26	7.7	56.0
Comedy,Documentary,Romance	112	6.5	73.0
Comedy,Documentary,Sci-Fi	99	6.7	48.0
Comedy,Documentary,Sport	154	7.0	71.0
Comedy,Documentary,Talk-Show	9	6.8	69.0
Comedy,Documentary,Thriller	6304	6.2	84.0
Comedy,Documentary,War	9521	7.0	67.0
Comedy,Documentary,Western	82	6.4	79.0
Comedy,Drama	2738	6.3	93.0
Comedy,Drama,Family	3088	6.3	97.0
Comedy,Drama,Fantasy	9787	6.3	98.0
Comedy,Drama,Film-Noir	483	6.5	89.0
Comedy,Drama,Game-Show	74	2.9	90.0
Comedy,Drama,History	5553	6.7	105.0
Comedy,Drama,Horror	2090	5.6	92.0
Comedy,Drama,Music	6365	6.4	98.0
Comedy,Drama,Musical	2374	6.2	106.0
Comedy,Drama,Mystery	3351	6.3	108.0
Comedy,Drama,News	30	5.7	86.0
Comedy,Drama,Reality-TV	33	6.0	61.0
Comedy,Drama,Romance	6891	6.2	98.0
Comedy,Drama,Sci-Fi	8304	6.2	93.0
Comedy,Drama,Sport	5326	6.2	99.0
Comedy,Drama,Talk-Show	9	9.3	25.0
Comedy,Drama,Thriller	3338	6.1	97.0
Comedy,Drama,War	10608	6.8	100.0
Comedy,Drama,Western	31562	6.4	84.0
Comedy,Family	2384	5.8	85.0
Comedy,Family,Fantasy	7170	5.6	85.0
Comedy,Family,History	1395	6.5	83.0
Comedy,Family,Horror	988	4.9	83.0
